Id,DateTime,Title,Artist,Likes,Comments,Streams,Position
1686549020874,2023-06-12 05:50:17,RVFV & Anitta & Sfera Ebbasta - CAPITÁN,RVFV & Anitta & Sfera Ebbasta,87613,8895,2864134,34
1686549020473,2023-06-12 05:50:17,Rhove - Whip Whip,Rhove,45968,1114,2234067,35
1686549012422,2023-06-12 05:50:17,Pinguini Tattici Nucleari - Rubami la Notte (Official Video),Pinguini Tattici Nucleari,13589,277,1203683,36
1686549012546,2023-06-12 05:50:17,Noizy x Stresi - Medalioni (Official Video),Noizy x Stresi,108537,4753,14536987,37
1686549015965,2023-06-12 05:50:17,Rosa Chemical- Bdope - MADE IN ITALY,Rosa Chemical- Bdope,129010,4124,20663280,38
1686549022019,2023-06-12 05:50:17,Tedua - Intro La Divina Commedia (Official Video),Tedua,81093,3502,1553929,39
1686549018330,2023-06-12 05:50:17,Fred De Palma - Extasi (Official Video),Fred De Palma,110696,1581,39052179,40
1686549012816,2023-06-12 05:50:17,Emis Killa- Sfera Ebbasta - ON FIRE (paid in full),Emis Killa- Sfera Ebbasta,24433,559,1996356,41
1686549014495,2023-06-12 05:50:17,Tedua - Diluvio A Luglio (feat. Marracash) [Official Lyrics Video],Tedua,10413,216,498658,42
1686549020026,2023-06-12 05:50:17,The Kolors - ITALODISCO (Lyric Video),The Kolors,9611,405,1352157,43
1686549018345,2023-06-12 05:50:17,Black Eyed Peas- Daddy Yankee - BAILAR CONTIGO (Official Music Video),Black Eyed Peas- Daddy Yankee,173293,11142,26111121,44
1686549017318,2023-06-12 05:50:17,Tedua - Bagagli (Improvvisazione) [Official Lyrics Video],Tedua,10678,275,482800,45
1686549017343,2023-06-12 05:50:17,Medy feat. Capo Plaza - Arai (Official Video),Medy feat. Capo Plaza,33626,480,5644491,46
1686549014109,2023-06-12 05:50:17,Emma - MEZZO MONDO,Emma,13553,865,1504449,47
1686549022706,2023-06-12 05:50:17,wax - Anni 70 (Official Visual Video),wax,12535,470,1278732,48
1686549019183,2023-06-12 05:50:17,Tedua - Anime Libere (feat. Rkomi- Bresh) [Official Lyrics Video],Tedua,8936,163,521301,49
1686549018625,2023-06-12 05:50:17,Luiz Ejlli - Përjetësisht (Lyric Video),Luiz Ejlli,88224,5329,4400220,50
1686550816857,2023-06-12 06:20:22,Annalisa - Mon Amour (Official Video),Annalisa,113097,5978,23862441,1
1686550817780,2023-06-12 06:20:22,Angelina Mango - Ci pensiamo domani (Official Lyric Video),Angelina Mango,60492,1670,9153520,2
1686550822588,2023-06-12 06:20:22,AVA- ANNA- Capo Plaza - VETRI NERI (Official Visual),AVA- ANNA- Capo Plaza,45717,705,4829818,3
1686550819642,2023-06-12 06:20:22,Marco Mengoni - Due Vite (Official Video - Sanremo 2023 – Eurovision 2023),Marco Mengoni,360994,14804,69082357,4
1686550817215,2023-06-12 06:20:22,BLANCO- MINA - Un Briciolo Di Allegria,BLANCO- MINA,112876,4575,16432884,5
1686550819729,2023-06-12 06:20:22,Geolier - COME VUOI (Official Video),Geolier,87502,1024,17665310,6
1686550821350,2023-06-12 06:20:22,Lazza - CENERE,Lazza,245190,6105,46569480,7
